PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,PitchCall,Balls,Strikes,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PitchUID,SessionId
1,2026-03-03,13:32:06.41,"Barrett, Hudson",805201,Left,OKL_COW,,,,,,Live,,53.79555,4.809993974,-0.7754263043,1349.674031,157.4064344,11:15,6.04142,-1.17843,5.6052,-81.14943,18.69302,-7.78286,3.77935,-2.55078,48.63787,-10.42392766,-2.248456382,0.7191657619,3.91143,8.37627,1.24956,50,6.40209,1.21085,-77.87482,4.91816,2.34784,11.83435,-27.14619,ee6bd4cd-b14f-46fe-a510-9b54b2e530fa,cfb0d125-6aed-4271-8f49-fe65d7d64d62,52.41134,Pitching,23360082,,,,,,,,,,,,,,,,,,,,-21.16549806,1258.626901,0.9325413925,,891c3450-fb21-4857-b0e9-30fecd043d2c,e80cffd8-a4f1-47ac-834b-88e6d0d860af
2,2026-03-03,13:32:20.04,"Barrett, Hudson",805201,Left,OKL_COW,,,,,,Live,,59.32557,1.298027781,1.150089373,1472.734759,,,5.97825,-1.17733,5.52782,,,,1.71608,-0.80243,54.31904,,,0.6483996099,4.85378,7.84058,1.08303,50,6.04797,-1.53919,-86.19584,0.45795,3.6021,13.49907,-26.35538,1a962de8-2163-4548-b349-b83958904c26,cfb0d125-6aed-4271-8f49-fe65d7d64d62,58.1315,Pitching,23360082,,,,,,,,,,,,,,,,,,,,-14.34200803,1426.836062,0.9688343766,,c02d3d42-6243-4477-87ab-be1c99ad1941,e80cffd8-a4f1-47ac-834b-88e6d0d860af
3,2026-03-03,13:32:34.18,"Barrett, Hudson",805201,Left,OKL_COW,,,,,,Live,,62.34227,,,1597.054767,,,5.87915,-1.23427,5.59247,,,,2.72562,-0.49568,56.61011,,,0.6167592277,7.75484,10.56457,1.07336,50,5.96053,-2.81184,-90.54592,0.87398,6.34461,15.01018,-23.53066,dbf2c6ce-94a1-41f5-b08a-550f6f2c4781,cfb0d125-6aed-4271-8f49-fe65d7d64d62,61.1137,Pitching,23360082,,,,,,,,,,,,,,,,,,,,-26.35195593,1431.095677,0.896084284,,14a6780e-e154-42be-b166-9d49e9f9cb06,e80cffd8-a4f1-47ac-834b-88e6d0d860af
4,2026-03-03,13:32:53.08,"Barrett, Hudson",805201,Left,OKL_COW,,,,,,Live,,64.23803,,,1591.762579,,,5.33694,-1.89333,5.59147,,,,2.74777,-0.37344,58.43278,,,0.6000362615,16.14983,-1.22458,1.55933,50,5.58821,-5.98982,-92.98905,3.90942,13.96829,15.53085,-33.23321,80aec7f7-793c-43f5-b6bc-7563075d3cba,cfb0d125-6aed-4271-8f49-fe65d7d64d62,62.81694,Pitching,23360082,,,,,,,,,,,,,,,,,,,,-30.07398273,1377.478005,0.8653790609,,14c3e39c-04a5-4886-a7f6-6625d4614d04,e80cffd8-a4f1-47ac-834b-88e6d0d860af
5,2026-03-03,13:33:17.26,"Barrett, Hudson",805201,Left,OKL_COW,,,,,,Live,,65.01014,,,1614.472595,,,5.69797,-1.3948,5.63008,,,,3.16152,-0.40044,58.93798,,,0.5909116915,6.6072,8.68219,1.22693,50,5.81617,-3.11874,-94.41013,1.67473,5.88243,16.19489,-24.44425,a372a9c5-4018-4d5a-9c04-7d05d8b2ff34,cfb0d125-6aed-4271-8f49-fe65d7d64d62,63.78692,Pitching,23360082,,,,,,,,,,,,,,,,,,,,-28.93838872,1412.890397,0.8751405267,,f9fbfe2b-cd45-4e8f-80c2-5c5d9e0d5813,e80cffd8-a4f1-47ac-834b-88e6d0d860af
6,2026-03-03,13:33:51.34,"Barrett, Hudson",805201,Left,OKL_COW,,,,,,Live,,65.51192,3.632950889,0.4853381577,1631.463083,168.9711956,11:45,5.91316,-1.94987,6.51828,-46.96903,17.76936,-3.46732,5.33658,-1.79355,58.65671,-5.388971621,-0.1822087291,0.5790983705,2.0903,8.603,1.91765,50,6.14563,-0.73421,-95.15071,5.0688,1.87297,17.67996,-24.46551,004b12e2-21c6-4c84-a9f5-d0fa015a23b1,cfb0d125-6aed-4271-8f49-fe65d7d64d62,65.08815,Pitching,23360082,,,,,,,,,,,,,,,,,,,,-29.18148071,1424.39733,0.873079719,,e2e3eeab-5257-4513-87dd-42dc9f5bf36f,e80cffd8-a4f1-47ac-834b-88e6d0d860af
7,2026-03-03,13:34:03.14,"Barrett, Hudson",805201,Left,OKL_COW,,,,,,Live,,67.42274,2.8256754,-0.09308896743,1672.279898,157.1640107,11:15,5.7717,-1.26135,5.47022,-43.90555,19.6939,-8.30507,4.75904,-2.04054,60.32568,-5.450019352,-1.662023385,0.5739817595,4.40548,9.54866,1.27501,50,5.99082,0.37386,-97.81016,3.69132,4.17105,18.68642,-23.1335,8f412d59-3b15-4844-866a-a98d7bbba51f,cfb0d125-6aed-4271-8f49-fe65d7d64d62,65.66836,Pitching,23360082,,,,,,,,,,,,,,,,,,,,-21.2249316,1558.843059,0.9321663562,,2a47dfad-e9b3-4443-a8a3-87be5beeecc7,e80cffd8-a4f1-47ac-834b-88e6d0d860af
8,2026-03-03,13:36:14.12,"Barrett, Hudson",805201,Left,OKL_COW,,,,,Fastball,Live,,69.69657,,,1727.622482,,,5.49466,-1.56466,5.7937,,,,2.69841,0.18603,63.31136,,,0.5487793388,3.03101,7.63417,1.3809,50,5.5418,-3.90013,-101.28186,0.45619,3.11222,18.31636,-24.33533,e950e522-44ed-4fdc-a08b-f76f4f7eaca9,cfb0d125-6aed-4271-8f49-fe65d7d64d62,68.68414,Pitching,23360082,,,,,,,,,,,,,,,,,,,,-29.12526912,1509.177836,0.8735576499,,8a1fadb0-f838-4008-b11b-dbb4e6ac53b8,e80cffd8-a4f1-47ac-834b-88e6d0d860af
9,2026-03-03,13:36:31.75,"Barrett, Hudson",805201,Left,OKL_COW,,,,,,Live,,70.2249,-0.04872065626,1.424693508,1646.665495,130.48563,10:15,5.49228,-1.8333,5.82036,-45.43864,11.75741,-13.83296,1.66043,-1.66139,63.95788,-8.578202316,-1.191737997,0.5443201265,7.91318,6.3601,1.72505,50,5.4617,-2.18444,-102.10704,-1.25307,8.24873,18.79258,-25.54426,2e4c3d0c-3815-4bfe-852d-35ec8e1998b6,cfb0d125-6aed-4271-8f49-fe65d7d64d62,69.24682,Pitching,23360082,,,,,,,,,,,,,,,,,,,,-20.81982639,1539.142751,0.9347027407,,77bb63a6-4f47-412d-bd31-66a0440a912f,e80cffd8-a4f1-47ac-834b-88e6d0d860af
10,2026-03-03,13:36:45.56,"Barrett, Hudson",805201,Left,OKL_COW,,,,,,Live,,67.09799,2.133716,2.229251935,1626.734673,104.6169409,9:30,5.24276,-2.07935,5.90793,-58.70892,3.56686,-13.95438,2.333,-1.17228,61.40169,-8.885517481,-0.406517926,0.5679772863,8.21059,1.2898,1.90857,50,5.38057,-3.45731,-97.50005,2.21283,7.84641,16.36492,-30.94145,43febb55-e0a7-42f1-91a8-7628efebf7f1,cfb0d125-6aed-4271-8f49-fe65d7d64d62,66.36258,Pitching,23360082,,,,,,,,,,,,,,,,,,,,-25.06170952,1473.580999,0.9058520871,,5dec0a1a-8ce8-4864-98ef-17ca6e943345,e80cffd8-a4f1-47ac-834b-88e6d0d860af
11,2026-03-03,13:36:59.54,"Barrett, Hudson",805201,Left,OKL_COW,,,,,,Live,,68.36049,-0.2486442667,4.960816952,1708.711843,120.5552869,10:00,5.20413,-1.89253,5.82926,-51.5665,8.79122,-15.0235,0.67495,1.47783,62.73545,-9.865392407,2.139991424,0.5591621816,9.55426,4.81032,1.49604,50,5.15352,-8.22643,-99.10504,-1.72174,9.45161,16.62726,-27.41541,3b75615c-2e2a-415b-bfb8-a4b6caa9cf6f,cfb0d125-6aed-4271-8f49-fe65d7d64d62,67.40878,Pitching,23360082,,,,,,,,,,,,,,,,,,,,-32.63348256,1438.970159,0.8421374058,,0acd2f89-4140-458c-b2eb-40f991781c1d,e80cffd8-a4f1-47ac-834b-88e6d0d860af
12,2026-03-03,13:37:15.83,"Barrett, Hudson",805201,Left,OKL_COW,,,,,,Live,,65.90375,2.307611214,2.176817077,2062.061098,258.131027,2:30,5.17682,-1.90437,5.44767,-63.63692,2.98434,14.35833,2.03662,1.33085,59.7423,-9.58017032,4.877237042,0.5874593375,-6.91894,0.80215,1.70279,50,5.33801,-3.99766,-95.57746,2.23803,-6.25976,17.74341,-31.44832,41094d53-e5da-4cbf-adf4-14d3f10c8612,cfb0d125-6aed-4271-8f49-fe65d7d64d62,64.16178,Pitching,23360082,,,,,,,,,,,,,,,,,,,276.3822326,-55.83148118,1158.11301,0.5616288535,3:15,1683dd39-1ba2-471a-822a-53722235ca7e,e80cffd8-a4f1-47ac-834b-88e6d0d860af
13,2026-03-03,13:37:45.59,"Barrett, Hudson",805201,Left,OKL_COW,,,,,,Live,,71.22259,,,1956.374165,,,5.37217,-1.53543,5.61042,,,,1.75171,1.12484,65.12526,-9.400610386,3.298086916,0.538972926,-1.68136,-0.73966,1.32405,50,5.43762,-4.53506,-103.44626,0.61565,-1.8017,19.04405,-32.96665,a7eac176-101d-42bf-9f10-2c1b1c224af4,cfb0d125-6aed-4271-8f49-fe65d7d64d62,69.93383,Pitching,23360082,,,,,,,,,,,,,,,,,,,,,,,,9e5c9a08-bee4-486d-b110-4d6a61c6e83d,e80cffd8-a4f1-47ac-834b-88e6d0d860af
14,2026-03-03,13:38:25.03,"Barrett, Hudson",805201,Left,OKL_COW,,,,,,Live,,74.96736,0.3748591408,1.943740788,1867.029448,146.3197138,11:00,5.40786,-1.58726,6.0648,-35.33539,14.53662,-9.72204,2.81032,-0.59815,67.72775,-6.323220884,0.09444276825,0.5082762902,5.9254,7.79786,1.44193,50,5.41818,-3.44501,-108.99703,-0.21001,7.01695,21.95046,-22.9397,8a1e9924-2a5c-4916-8dbb-b8d60e8cddcb,cfb0d125-6aed-4271-8f49-fe65d7d64d62,74.15738,Pitching,23360082,,,,,,,,,,,,,,,,,,,,-26.94409473,1664.36167,0.8914490726,,765fdab1-2aab-4ae7-9929-7c6dfa577174,e80cffd8-a4f1-47ac-834b-88e6d0d860af
15,2026-03-03,13:39:00.76,"Barrett, Hudson",805201,Left,OKL_COW,,,,,Sinker,Live,,74.57635,-1.130399292,2.46234236,1776.040055,123.3323539,10:00,5.29048,-1.91556,5.93938,-40.5072,9.95332,-15.18933,0.86531,-0.89607,68.03861,-8.733984136,-0.4125594362,0.5112663925,8.98649,5.73988,1.728,50,5.17776,-4.25507,-108.38542,-3.22272,10.57861,20.78395,-25.41725,7c5b1507-3047-45b6-84ff-9d97d88a045d,cfb0d125-6aed-4271-8f49-fe65d7d64d62,73.72368,Pitching,23360082,,,,,,,,,,,,,,,,,,,,-24.04780721,1621.89001,0.9132057614,,cb275816-792d-473e-9c05-c48b0575b3b0,e80cffd8-a4f1-47ac-834b-88e6d0d860af
16,2026-03-03,13:40:12.86,"Barrett, Hudson",805201,Left,OKL_COW,,,,,Sinker,Live,,76.65887,-1.748562331,3.727575987,1870.947329,117.7054601,10:00,5.15138,-1.92634,6.16837,-39.32741,7.74223,-14.78664,0.25534,0.28879,70.56497,-9.117471986,0.9340467115,0.4937894788,9.10555,4.71098,1.65181,50,4.99872,-6.86353,-111.36044,-4.44844,11.42256,20.18835,-26.26431,5a4079c8-d014-4ce5-9f25-518c6149a945,cfb0d125-6aed-4271-8f49-fe65d7d64d62,76.33301,Pitching,23360082,,,,,,,,,,,,,,,,,,,,-21.83807538,1736.685965,0.9282388329,,6b6a5f8a-f215-4b20-83cc-16a22f7e342e,e80cffd8-a4f1-47ac-834b-88e6d0d860af
17,2026-03-03,13:40:32.64,"Barrett, Hudson",805201,Left,OKL_COW,,,,,Sinker,Live,,76.47057,0.2880574261,3.384337996,1851.379121,124.3320126,10:15,5.24135,-1.90485,6.18515,-36.86708,10.68993,-15.74423,2.43551,-0.08872,69.46689,-6.690420472,0.3947457889,0.4963393163,9.63812,5.7521,1.65772,50,5.24443,-6.15936,-111.12039,-0.40492,11.93489,21.70138,-25.05122,469bbde7-4330-4170-aeda-bd81ae3245ba,cfb0d125-6aed-4271-8f49-fe65d7d64d62,75.94087,Pitching,23360082,,,,,,,,,,,,,,,,,,,,-29.8993027,1604.965773,0.8669028156,,4d9ad99a-0c6b-4395-bc9c-0f8a41d712b7,e80cffd8-a4f1-47ac-834b-88e6d0d860af
18,2026-03-03,13:41:17.44,"Barrett, Hudson",805201,Left,OKL_COW,,,,,Fastball,Live,,78.02244,0.7105263024,3.669142257,1893.209847,147.2993937,11:00,5.46445,-1.56214,6.05415,-32.07568,13.91473,-8.98022,3.45046,1.08999,70.64238,-5.35614063,1.969215526,0.4880957309,6.01743,7.34849,1.28192,50,5.50255,-7.02011,-113.30125,0.5312,7.73994,22.7292,-22.72202,71b674e3-5b7e-49df-94cd-fe5c68834301,cfb0d125-6aed-4271-8f49-fe65d7d64d62,77.22346,Pitching,23360082,,,,,,,,,,,,,,,,,,,,-30.68218336,1628.181271,0.8600109879,,28a70e4a-8dd6-4578-8e84-b34aab7503ae,e80cffd8-a4f1-47ac-834b-88e6d0d860af
19,2026-03-03,13:41:40.73,"Barrett, Hudson",805201,Left,OKL_COW,,,,,Fastball,Live,,78.62385,,,1970.881714,,,5.70457,-1.15592,6.18551,,,,4.8485,0.34489,71.06209,-3.382126535,1.769250488,0.4825458959,-0.32299,10.72315,1.04261,50,5.78947,-3.02404,-114.3701,1.91938,-0.42297,23.32029,-18.13145,76302757-7f6b-4a1d-962a-9e3dec37adeb,cfb0d125-6aed-4271-8f49-fe65d7d64d62,78.11161,Pitching,23360082,,,,,,,,,,,,,,,,,,,,-35.79587988,1598.593749,0.811105881,,59d27de2-470a-45fc-9d5d-c3a31c128ff4,e80cffd8-a4f1-47ac-834b-88e6d0d860af
20,2026-03-03,13:42:05.09,"Barrett, Hudson",805201,Left,OKL_COW,,,,,Fastball,Live,,78.14754,,,1951.242548,,,5.4392,-1.42778,6.12738,,,,3.53416,-0.23778,70.95182,-5.580938085,0.4471658174,0.4856295217,5.21651,5.13001,1.27594,50,5.50762,-3.83345,-113.65625,1.29667,6.76292,22.55726,-25.52328,68bcfd2b-0b49-4c17-9e5e-03d21d5c2788,cfb0d125-6aed-4271-8f49-fe65d7d64d62,77.61563,Pitching,23360082,,,,,,,,,,,,,,,,,,,,-22.66614692,1800.540164,0.9227659401,,93e9c099-c779-4d11-a9a9-867742f85a1d,e80cffd8-a4f1-47ac-834b-88e6d0d860af
21,2026-03-03,13:43:29.88,"Barrett, Hudson",805201,Left,OKL_COW,,,,,Fastball,Live,,77.90656,,,1895.956346,,,5.43088,-1.37049,5.8835,,,,1.90847,1.05652,70.08227,-6.97986743,1.540053178,0.4925440181,6.99909,8.2763,1.08866,50,5.3393,-6.7522,-113.03319,-2.69353,8.87422,24.44089,-21.68044,11bb8f8b-4ead-414d-aae2-020e605e709d,cfb0d125-6aed-4271-8f49-fe65d7d64d62,76.52603,Pitching,23360082,,,,,,,,,,,,,,,,,,,,-17.38547111,1809.341718,0.9543161277,,f015b002-b7d5-4b4c-ace4-5188ee19ead3,e80cffd8-a4f1-47ac-834b-88e6d0d860af
22,2026-03-03,13:43:57.15,"Barrett, Hudson",805201,Left,OKL_COW,,,,,,Live,,74.46732,,,,,,5.46148,-1.43886,5.65033,,,,,,,,,,-1.88618,3.52791,1.2022,50,5.27859,-5.34573,-108.0033,-4.72157,-2.17283,23.14402,-28.10999,63c8110c-38a4-4dc2-9397-41169b7b86b5,cfb0d125-6aed-4271-8f49-fe65d7d64d62,,Pitching,23360082,,,,,,,,,,,,,,,,,,,,,,,,1aacc0f8-e3f3-4184-9daa-8250c94e25e6,e80cffd8-a4f1-47ac-834b-88e6d0d860af
