PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,PitchCall,Balls,Strikes,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PitchUID,SessionId
1,2025-11-14,09:31:30,"Johnson, Camp",1000301802,Right,NA,NA,NA,NA,NA,NA,Live,NA,54.63218,5.926023193,-3.646014299,1328.645233,220.9921751,01:15:00,5.71561,2.47727,3.17039,-93.5375,13.31888,11.6802,3.73617,-0.11212,49.14669,-10.87041586,-1.532003758,0.7439977713,-6.9917,4.55958,-2.02544,50,6.35662,4.67222,-78.4434,5.54598,-4.26838,11.79385,-29.39046,4f30545a-127e-40da-a023-03d1891dda72,f84a1909-96d2-47a7-9caa-85b99022f87e,50.66203,Pitching,23360082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240.9292936,41.74795274,991.2771863,0.7460811675,02:00:00,663907e5-040a-4298-af6e-b11548d7dc18,2a7de8fa-5d3f-427a-9ec6-be065ac1c245
2,2025-11-14,09:41:43,"Johnson, Camp",1000301802,Right,NA,NA,NA,NA,NA,NA,Live,NA,59.02018,-1.661203492,-4.398715485,1461.427051,208.3193264,01:00:00,6.38259,1.01388,4.04481,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.4054,8.30283,-0.5264,50,6.12052,6.33383,-85.44379,-4.46334,-4.02362,11.01182,-25.99368,f474ef99-e742-4bf6-8f8c-21cb599c8873,f84a1909-96d2-47a7-9caa-85b99022f87e,NA,Pitching,23360082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.85727176,1315.113758,0.899883273,NA,4083c01c-fece-4f25-a6e8-1ba83faa1114,2a7de8fa-5d3f-427a-9ec6-be065ac1c245
3,2025-11-14,09:48:46,"Johnson, Camp",1000301802,Right,NA,NA,NA,NA,NA,NA,Live,NA,58.03873,3.351901369,-5.445486635,1191.914285,194.890354,12:30:00,5.73421,2.17857,4.24406,-82.63521,6.65576,1.79726,2.07429,-2.8993,53.56991,-11.55634462,-5.119132872,0.6801037669,-2.48526,2.42064,-1.58411,50,6.01997,7.93359,-83.72822,2.71322,-1.75842,11.65249,-30.46135,67ea99ee-eaf4-4d10-b4d7-8801bfb69356,f84a1909-96d2-47a7-9caa-85b99022f87e,55.4216,Pitching,23360082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.18416851,923.8755235,0.7751190961,NA,a54d773b-9b66-4f50-8dd3-4b8d58f55d38,2a7de8fa-5d3f-427a-9ec6-be065ac1c245
4,2025-11-14,10:15:18,"Johnson, Camp",1000301802,Right,NA,NA,NA,NA,NA,NA,Live,NA,61.13068,3.217678228,-2.931884658,1373.652202,230.3423232,01:45:00,6.27606,1.9678,4.76737,-69.91438,7.77041,9.48209,3.50734,-0.02379,56.59621,-9.542952203,-1.190207687,0.6343652443,-5.66796,3.18228,-1.68241,50,6.53867,4.28653,-88.63252,3.12496,-4.53734,11.91486,-29.62655,a98495ac-568f-43af-b91f-ff0d0da2b915,f84a1909-96d2-47a7-9caa-85b99022f87e,59.41757,Pitching,23360082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.46353513,1132.557697,0.8244865008,NA,2130790a-9e6f-4c82-b6e5-8764ec14d69c,2a7de8fa-5d3f-427a-9ec6-be065ac1c245
5,2025-11-14,11:31:29,"Johnson, Camp",1000301802,Right,NA,NA,NA,NA,NA,NA,Live,NA,70.92626,1.479488388,-3.191441947,1929.593057,212.7201459,01:00:00,5.66639,1.91152,5.63801,-35.46444,20.81291,13.43091,4.0935,0.05078,64.4507,-5.166413746,-0.6713638647,0.5399309533,-8.12477,10.7038,-1.64897,50,5.76972,5.38141,-102.98529,1.71096,-8.67942,17.95046,-20.73954,52ae8613-d45c-49b0-9252-ff5030c9a521,f84a1909-96d2-47a7-9caa-85b99022f87e,69.80974,Pitching,23360082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.90477212,1582.467408,0.8201042195,NA,c043b35b-188f-422e-9563-7b42143a8d13,2a7de8fa-5d3f-427a-9ec6-be065ac1c245
